,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,67.760002,67.800003,66.190002,66.260002,59.675304,14760900
1,2019-10-03,66.080002,66.730003,64.790001,66.699997,60.071568,12646100
2,2019-10-04,66.760002,68.239998,66.669998,68.18,61.404499,10977100
3,2019-10-07,67.870003,68.839996,67.860001,68.150002,61.377483,7835500
4,2019-10-08,67.029999,67.18,66.029999,66.400002,59.801392,13500700
5,2019-10-09,67.0,67.769997,66.790001,67.43,60.729031,8357800
6,2019-10-10,67.769997,69.290001,67.550003,68.620003,61.800766,9817000
7,2019-10-11,69.989998,70.93,69.989998,70.099998,63.13369,14921700
8,2019-10-14,69.529999,70.5,69.459999,70.239998,63.259781,11398600
9,2019-10-15,70.169998,72.080002,68.699997,71.220001,64.14238,22030100
10,2019-10-16,70.82,71.459999,69.419998,69.5,62.593311,17295400
11,2019-10-17,70.029999,70.339996,69.18,69.599998,62.683392,11382800
12,2019-10-18,69.32,70.089996,69.139999,69.739998,62.809464,10413600
13,2019-10-21,70.519997,71.889999,70.519997,71.809998,64.673752,13080600
14,2019-10-22,71.720001,72.870003,71.470001,72.059998,64.898911,11052300
15,2019-10-23,71.900002,72.470001,71.730003,72.449997,65.250153,10327000
16,2019-10-24,72.550003,72.860001,71.860001,72.300003,65.115067,7445700
17,2019-10-25,71.970001,73.419998,71.809998,73.169998,65.898605,10497600
18,2019-10-28,73.730003,74.279999,73.440002,73.589996,66.276878,13086900
19,2019-10-29,73.139999,73.790001,72.720001,73.089996,65.826569,9592300
20,2019-10-30,72.75,73.349998,72.099998,72.970001,65.718498,12431500
21,2019-10-31,72.360001,72.970001,71.330002,71.860001,64.718803,16864000
22,2019-11-01,72.25,73.989998,72.099998,73.839996,66.977379,12935200
23,2019-11-04,74.940002,75.269997,74.110001,75.150002,68.165627,12585200
24,2019-11-05,75.190002,75.970001,74.639999,74.830002,67.875366,14403200
25,2019-11-06,74.419998,75.050003,73.970001,74.419998,67.503464,12629200
26,2019-11-07,75.410004,76.279999,75.410004,75.809998,68.764282,14340500
27,2019-11-08,75.480003,76.120003,75.059998,76.120003,69.045471,7927100
28,2019-11-11,75.449997,76.080002,75.239998,75.599998,68.573799,6020300
29,2019-11-12,75.550003,75.959999,75.010002,75.07,68.093071,11066600
30,2019-11-13,74.25,74.910004,73.709999,73.910004,67.040886,14040700
31,2019-11-14,73.610001,74.010002,73.330002,73.839996,66.977379,9446800
32,2019-11-15,74.339996,74.459999,73.68,74.400002,67.485321,10294000
33,2019-11-18,74.290001,74.639999,73.559998,74.400002,67.485321,8525700
34,2019-11-19,74.970001,75.239998,74.470001,74.82,67.866302,9095500
35,2019-11-20,74.629997,74.720001,73.220001,73.910004,67.040886,12799900
36,2019-11-21,74.080002,74.629997,73.510002,73.900002,67.031799,8585100
37,2019-11-22,74.099998,74.919998,73.970001,74.870003,67.911652,7910700
38,2019-11-25,74.93,75.849998,74.870003,75.68,68.64637,11497700
39,2019-11-26,75.839996,75.839996,74.82,75.459999,68.4468,11306000
40,2019-11-27,75.839996,76.129997,75.5,75.720001,68.682648,7592100
41,2019-11-29,75.43,75.800003,74.989998,75.120003,68.138412,6246900
42,2019-12-02,75.419998,75.93,74.43,74.519997,67.59417,11085300
43,2019-12-03,73.379997,73.470001,72.5,73.330002,66.514778,13559400
44,2019-12-04,73.830002,74.589996,73.419998,74.230003,67.331123,8266400
45,2019-12-05,74.650002,74.849998,74.349998,74.709999,67.766525,9581200
46,2019-12-06,75.93,76.220001,75.599998,75.809998,68.764282,9877800
47,2019-12-09,75.18,75.919998,75.080002,75.330002,68.328911,8817100
48,2019-12-10,75.07,76.269997,74.870003,75.779999,68.737068,13019600
49,2019-12-11,76.120003,76.209999,75.5,75.550003,68.528442,10484900
50,2019-12-12,75.809998,77.519997,75.620003,77.050003,69.889046,15829000
51,2019-12-13,77.050003,77.830002,76.059998,76.389999,69.290375,13447000
52,2019-12-16,77.360001,77.599998,76.900002,76.910004,69.762054,13967200
53,2019-12-17,77.290001,78.129997,77.129997,77.739998,70.514908,14409200
54,2019-12-18,77.699997,78.330002,77.660004,77.919998,70.678185,12643000
55,2019-12-19,78.0,78.519997,77.940002,78.199997,70.932152,13006200
56,2019-12-20,78.940002,79.050003,78.040001,78.510002,71.213348,32019400
57,2019-12-23,78.669998,78.970001,78.440002,78.760002,71.440109,9256500
58,2019-12-24,78.699997,78.940002,78.459999,78.589996,71.285904,4576200
59,2019-12-26,78.75,79.839996,78.650002,79.830002,72.410667,11992800
60,2019-12-27,80.0,80.18,79.580002,79.669998,72.265533,10867900
61,2019-12-30,80.150002,80.419998,79.339996,79.510002,72.120399,10084900
62,2019-12-31,79.32,79.940002,79.099998,79.889999,72.465088,8031200
63,2020-01-02,80.129997,81.260002,80.029999,81.230003,73.680557,12728900
64,2020-01-03,79.800003,80.519997,79.449997,79.699997,72.292747,12437400
65,2020-01-06,78.720001,79.550003,78.720001,79.449997,72.065987,10059500
66,2020-01-07,79.290001,79.300003,78.730003,78.760002,71.440109,10469100
67,2020-01-08,78.769997,80.0,78.68,79.360001,71.984352,11292400
68,2020-01-09,80.980003,80.980003,79.730003,80.080002,72.637436,12895900
69,2020-01-10,80.0,80.010002,79.07,79.25,71.884575,10062100
70,2020-01-13,79.5,80.720001,79.0,80.650002,73.154449,16566300
71,2020-01-14,81.199997,83.110001,80.970001,81.910004,74.297348,24971800
72,2020-01-15,81.730003,82.050003,80.730003,81.239998,73.689629,16063600
73,2020-01-16,81.959999,82.129997,80.849998,81.0,73.471939,10426000
74,2020-01-17,81.160004,81.400002,80.809998,81.120003,73.580788,12413100
75,2020-01-21,80.480003,80.910004,79.870003,79.900002,72.474152,10522000
76,2020-01-22,80.199997,80.480003,79.860001,80.099998,72.655586,8045600
77,2020-01-23,79.580002,80.080002,78.919998,79.800003,72.383453,11618200
78,2020-01-24,79.620003,79.669998,77.639999,78.419998,71.131706,15036100
79,2020-01-27,76.260002,77.0,75.849998,76.709999,69.580635,15859600
80,2020-01-28,77.209999,78.129997,76.779999,77.239998,70.061378,10960200
81,2020-01-29,77.540001,77.900002,76.410004,76.480003,69.372025,9478900
82,2020-01-30,75.739998,77.540001,75.5,77.43,70.233719,12498200
83,2020-01-31,75.959999,76.18,73.910004,74.410004,67.941902,17101200
84,2020-02-03,74.699997,76.209999,74.699997,75.129997,68.599312,11096500
85,2020-02-04,76.75,77.269997,76.43,76.5,69.850235,12173200
86,2020-02-05,77.919998,78.980003,77.809998,78.849998,71.995949,13070400
87,2020-02-06,79.800003,79.860001,78.400002,78.970001,72.10553,12826400
88,2020-02-07,78.129997,79.050003,78.059998,78.690002,71.849869,8341700
89,2020-02-10,78.080002,78.739998,78.050003,78.480003,71.658127,8418300
90,2020-02-11,78.75,79.550003,78.639999,79.089996,72.215088,9437200
91,2020-02-12,79.900002,80.769997,79.300003,79.330002,72.434235,9484100
92,2020-02-13,78.889999,79.279999,78.620003,79.0,72.132912,8946200
93,2020-02-14,78.889999,79.089996,78.449997,78.790001,71.941177,9056600
94,2020-02-18,78.610001,78.860001,77.510002,77.580002,70.836357,10343500
95,2020-02-19,77.870003,78.389999,77.620003,78.050003,71.265495,9145200
96,2020-02-20,77.660004,78.690002,77.309998,78.220001,71.420731,11763400
97,2020-02-21,77.559998,77.959999,76.150002,76.440002,69.795448,14020000
98,2020-02-24,73.379997,74.050003,72.440002,72.529999,66.225334,21096200
99,2020-02-25,72.629997,73.209999,69.0,69.43,63.394798,27451000
100,2020-02-26,70.019997,70.610001,68.160004,68.18,62.253437,25552100
101,2020-02-27,66.099998,66.889999,64.400002,64.449997,58.847672,34656800
102,2020-02-28,62.0,64.449997,61.34,63.459999,57.943733,46013200
103,2020-03-02,63.849998,67.610001,63.119999,67.589996,61.714729,29006400
104,2020-03-03,67.860001,68.43,64.470001,65.050003,59.395523,29547700
105,2020-03-04,66.050003,67.519997,64.360001,67.389999,61.532124,24188500
106,2020-03-05,64.800003,65.120003,63.009998,63.490002,57.97113,27277600
107,2020-03-06,60.459999,62.310001,59.740002,61.279999,55.953232,29916600
108,2020-03-09,54.310001,55.610001,51.0,51.369999,46.904655,35625600
109,2020-03-10,54.73,55.700001,51.5,55.580002,50.748699,32527500
110,2020-03-11,53.950001,54.330002,50.02,50.790001,46.375072,36709000
111,2020-03-12,45.299999,49.0,42.82,43.259998,39.499619,45941600
112,2020-03-13,47.82,51.240002,45.310001,51.040001,46.603348,40519800
113,2020-03-16,40.490002,45.23,39.57,41.189999,37.60955,35133800
114,2020-03-17,42.0,43.98,38.799999,40.25,36.751266,51650000
115,2020-03-18,37.060001,37.990002,32.0,36.43,33.263321,48351400
116,2020-03-19,35.470001,41.240002,34.200001,39.639999,36.19429,43397100
117,2020-03-20,40.459999,40.990002,37.200001,38.060001,34.751629,38163900
118,2020-03-23,37.549999,38.150002,34.619999,35.389999,32.313721,33013300
119,2020-03-24,37.650002,40.919998,37.34,40.66,37.125622,34100600
120,2020-03-25,42.310001,44.700001,39.43,41.860001,38.221313,38211100
121,2020-03-26,43.68,46.290001,43.0,46.02,42.019703,31528600
122,2020-03-27,44.130001,45.5,43.0,43.799999,39.99268,25484500
123,2020-03-30,44.049999,44.259998,41.57,44.080002,40.248341,27459000
124,2020-03-31,43.630001,44.23,41.650002,42.119999,38.458714,26219100
125,2020-04-01,39.139999,40.25,38.0,38.509998,35.16251,29219500
126,2020-04-02,38.360001,39.66,37.299999,39.23,35.819927,29532100
127,2020-04-03,39.0,39.459999,36.669998,37.490002,34.231182,25327100
128,2020-04-06,39.799999,41.34,39.509998,41.119999,37.545643,30064700
129,2020-04-07,44.810001,45.59,41.119999,41.25,37.664345,35220700
130,2020-04-08,42.849998,44.450001,41.970001,44.259998,40.412689,32944800
131,2020-04-09,46.939999,49.220001,46.369999,47.41,43.288887,43637200
132,2020-04-13,47.5,47.57,45.27,46.68,42.622337,27944300
133,2020-04-14,47.66,47.740002,43.529999,45.419998,41.471867,40466200
134,2020-04-15,43.369999,44.27,42.610001,42.860001,39.134396,32249000
135,2020-04-16,42.709999,42.84,40.099998,40.52,36.997803,37756000
136,2020-04-17,43.150002,45.619999,42.650002,45.450001,41.499256,41252900
137,2020-04-20,43.400002,45.439999,42.889999,44.009998,40.184425,33471900
138,2020-04-21,42.349998,43.110001,41.07,41.57,37.956528,35336200
139,2020-04-22,43.0,43.119999,41.849998,42.240002,38.568279,21888100
140,2020-04-23,42.650002,43.740002,42.259998,42.459999,38.769165,23970700
141,2020-04-24,43.0,43.34,41.73,43.099998,39.353527,26282100
142,2020-04-27,44.169998,46.82,43.73,46.560001,42.512768,30929200
143,2020-04-28,48.939999,49.59,46.93,47.209999,43.106262,28973300
144,2020-04-29,49.700001,50.650002,48.459999,50.259998,45.891148,32941100
145,2020-04-30,49.07,49.77,48.040001,48.560001,44.338917,28687000
146,2020-05-01,46.310001,46.470001,45.220001,45.52,42.004322,28078900
147,2020-05-04,45.029999,45.360001,43.98,45.119999,41.635212,26340200
148,2020-05-05,46.299999,46.349998,43.919998,43.950001,40.555584,27342900
