,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,26.102383,26.10745,25.423212,25.737455,25.119015,3143581
1,2019-10-03,25.752661,26.036493,25.032946,25.879372,25.257523,2660788
2,2019-10-04,25.965534,26.102383,25.443487,25.478966,24.866737,3822885
3,2019-10-07,25.392803,25.884439,25.337049,25.605677,24.990402,3134900
4,2019-10-08,25.438419,25.52965,24.72884,24.738976,24.144527,3017112
5,2019-10-09,24.906235,25.205271,24.708567,25.068424,24.466061,2605938
6,2019-10-10,25.043081,25.134314,24.779524,24.835276,24.238514,4467661
7,2019-10-11,25.27623,26.041561,25.225546,25.494171,24.881578,3014744
8,2019-10-14,25.468828,25.72225,25.397871,25.686771,25.06955,1551173
9,2019-10-15,25.595539,26.224024,25.519512,25.91485,25.292149,2061193
10,2019-10-16,25.808414,25.813482,25.428282,25.615812,25.000296,1980103
11,2019-10-17,25.767866,25.975672,25.499241,25.52965,24.916204,1985824
12,2019-10-18,25.524582,25.565128,25.088697,25.27623,24.668871,3410133
13,2019-10-21,25.291433,25.600609,25.134314,25.337049,24.728231,2371743
14,2019-10-22,25.499241,25.661428,25.230614,25.331982,24.723286,2048763
15,2019-10-23,25.286366,25.549925,24.967054,25.494171,24.881578,2469210
16,2019-10-24,25.676636,25.975672,25.306641,25.854029,25.232786,3018493
17,2019-10-25,25.904715,26.517994,25.82362,26.193613,25.564213,3189946
18,2019-10-28,26.320324,26.583881,26.087177,26.147999,25.519693,3117143
19,2019-10-29,26.17841,26.999493,26.132793,26.989355,26.340834,5226082
20,2019-10-30,26.969084,27.445515,26.725798,27.242777,26.588167,3210860
21,2019-10-31,27.192093,27.26812,26.411556,26.806892,26.162756,3032698
22,2019-11-01,26.953876,27.060314,26.756208,26.984287,26.335888,2398971
23,2019-11-04,27.293463,27.435377,27.10593,27.288393,26.632687,1979905
24,2019-11-05,27.323872,27.800304,27.136341,27.587429,26.924538,4079177
25,2019-11-06,27.876329,27.876329,27.217436,27.536745,26.875071,2791006
26,2019-11-07,27.759756,27.850988,27.435377,27.526609,26.865179,2908202
27,2019-11-08,27.55195,27.668526,27.141409,27.526609,26.865179,1962346
28,2019-11-11,27.278255,27.81044,27.192093,27.633045,26.969057,1830944
29,2019-11-12,27.769894,28.271667,27.698936,28.094273,27.419201,5463434
30,2019-11-13,27.876329,28.079067,27.643183,27.764826,27.097672,2171878
31,2019-11-14,27.572226,28.479473,27.45565,27.901672,27.23123,3357060
32,2019-11-15,28.205778,28.307146,27.957424,28.20071,27.523083,2799292
33,2019-11-18,28.205778,28.327419,27.91181,28.165232,27.488457,1931764
34,2019-11-19,28.210846,28.727825,28.018246,28.489611,27.80504,2811525
35,2019-11-20,28.291941,28.525089,27.845921,28.013178,27.340055,2832242
36,2019-11-21,27.997972,28.180435,27.212366,27.222504,26.56838,3173373
37,2019-11-22,27.217436,27.369488,26.862646,27.17182,26.518913,2850788
38,2019-11-25,27.369488,28.185505,27.369488,27.90674,27.236176,3744557
39,2019-11-26,28.215916,28.352762,26.938671,26.958946,26.311155,8725790
40,2019-11-27,25.874304,26.436897,25.215408,25.504309,24.89147,25892863
41,2019-11-29,25.494171,25.575266,24.551445,24.576788,23.986238,6382852
42,2019-12-02,24.505829,24.668018,23.98885,24.186518,23.605345,7351990
43,2019-12-03,23.720222,24.069944,23.53269,24.024328,23.447052,7722322
44,2019-12-04,24.27775,24.379118,24.095285,24.166245,23.58556,4132843
45,2019-12-05,24.130766,24.191586,23.62899,23.993917,23.417374,4072469
46,2019-12-06,24.075012,24.683224,23.836798,23.882414,23.308548,5935771
47,2019-12-09,23.73036,24.313229,23.542828,24.151039,23.570719,7451034
48,2019-12-10,24.029396,24.318296,23.887482,24.004055,23.427267,6115511
49,2019-12-11,23.983782,24.201723,23.770906,24.18145,23.600401,4372957
50,2019-12-12,23.983782,25.169792,23.862139,25.088697,24.485847,5211877
51,2019-12-13,25.053219,25.382666,24.850483,25.012671,24.411646,5212666
52,2019-12-16,25.337049,25.418144,24.972124,25.08363,24.4809,6638750
53,2019-12-17,25.200203,25.448555,25.119108,25.306641,24.698553,4669302
