,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,8.85,8.86,8.44,8.61,8.109823,68137000
1,2019-10-03,8.55,8.71,8.45,8.71,8.204014,40827900
2,2019-10-04,8.72,8.76,8.66,8.74,8.232272,27827400
3,2019-10-07,8.7,8.79,8.61,8.68,8.175757,29340400
4,2019-10-08,8.65,8.66,8.5,8.54,8.043891,31091200
5,2019-10-09,8.61,8.64,8.56,8.56,8.06273,16898500
6,2019-10-10,8.58,8.65,8.52,8.62,8.119243,28069600
7,2019-10-11,8.73,8.87,8.73,8.78,8.269947,34175700
8,2019-10-14,8.82,8.84,8.76,8.82,8.307624,24794500
9,2019-10-15,8.84,9.1,8.78,9.07,8.543102,29771700
10,2019-10-16,9.11,9.19,9.06,9.07,8.543102,27190300
11,2019-10-17,9.12,9.14,9.03,9.11,8.580778,28361200
12,2019-10-18,9.09,9.32,9.09,9.29,8.750321,42422900
13,2019-10-21,9.19,9.24,9.01,9.03,8.645012,33610200
14,2019-10-22,9.01,9.14,8.96,9.07,8.683306,35878500
15,2019-10-23,9.01,9.21,8.97,9.21,8.817337,44770400
16,2019-10-24,8.87,8.89,8.55,8.6,8.233345,120395200
17,2019-10-25,8.67,8.75,8.62,8.72,8.348228,51373600
18,2019-10-28,8.76,8.76,8.58,8.61,8.242917,39635300
19,2019-10-29,8.59,8.71,8.59,8.64,8.27164,36771800
20,2019-10-30,8.64,8.64,8.52,8.54,8.175901,28685300
21,2019-10-31,8.58,8.6,8.5,8.59,8.22377,29124100
22,2019-11-01,8.64,8.93,8.64,8.89,8.510981,55354900
23,2019-11-04,8.93,9.05,8.93,9.0,8.616291,46716500
24,2019-11-05,9.02,9.15,9.0,9.02,8.635438,37569700
25,2019-11-06,9.05,9.05,8.89,8.92,8.539701,39497700
26,2019-11-07,8.96,9.01,8.88,8.89,8.510981,32640400
27,2019-11-08,8.9,9.04,8.82,9.04,8.654584,29476800
28,2019-11-11,8.95,9.1,8.94,9.08,8.69288,24846600
29,2019-11-12,9.06,9.13,9.04,9.04,8.654584,28703900
30,2019-11-13,9.0,9.0,8.8,8.81,8.434392,34491200
31,2019-11-14,8.85,8.91,8.78,8.79,8.415244,26527800
32,2019-11-15,8.85,8.96,8.85,8.95,8.568422,26416300
33,2019-11-18,9.05,9.05,8.89,8.95,8.568422,38291400
34,2019-11-19,8.99,9.0,8.87,8.9,8.520553,31168900
35,2019-11-20,8.88,8.89,8.68,8.73,8.3578,38271500
36,2019-11-21,8.77,8.79,8.67,8.71,8.338654,33161400
