,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,140.160004,141.899994,139.100006,140.779999,134.719284,2740800
1,2019-10-03,140.5,141.899994,138.589996,141.710007,135.609283,2300900
2,2019-10-04,141.789993,143.059998,140.690002,143.0,136.843704,2166100
3,2019-10-07,141.839996,144.229996,141.130005,142.089996,135.972916,1778800
4,2019-10-08,140.800003,140.940002,138.380005,138.389999,132.432159,2382600
5,2019-10-09,138.830002,139.770004,137.779999,139.25,133.255173,2212800
6,2019-10-10,139.539993,141.619995,139.149994,141.360001,135.274338,1751500
7,2019-10-11,143.169998,147.050003,143.169998,145.539993,139.274384,3947900
8,2019-10-14,145.110001,147.699997,144.389999,146.779999,140.460999,2388200
9,2019-10-15,147.600006,150.130005,147.179993,149.960007,143.50412,3187300
10,2019-10-16,150.029999,152.360001,149.75,150.770004,144.279236,3425100
11,2019-10-17,151.380005,152.419998,150.479996,150.699997,144.21225,2585400
12,2019-10-18,150.479996,151.119995,149.190002,149.910004,143.456238,2789600
13,2019-10-21,150.679993,154.130005,150.089996,152.039993,145.494537,3459700
14,2019-10-22,151.320007,154.690002,149.850006,154.630005,147.973038,2975000
15,2019-10-23,154.389999,156.729996,153.690002,155.979996,149.264908,2174800
16,2019-10-24,156.300003,156.979996,153.039993,154.050003,147.41803,1712600
17,2019-10-25,153.800003,158.240005,153.509995,158.089996,151.284103,2080600
18,2019-10-28,158.899994,160.389999,157.169998,158.399994,151.580765,2597100
19,2019-10-29,158.929993,158.929993,156.800003,158.009995,151.207504,1464100
20,2019-10-30,157.75,157.759995,154.020004,155.839996,149.130951,1576200
21,2019-10-31,155.0,155.839996,151.619995,152.660004,146.08786,2110500
22,2019-11-01,154.160004,157.100006,153.960007,156.520004,149.781693,2129400
23,2019-11-04,159.850006,165.029999,159.5,164.839996,157.743469,4303600
24,2019-11-05,164.600006,167.589996,163.009995,164.850006,157.753098,2510200
25,2019-11-06,164.559998,164.619995,161.910004,163.169998,156.145386,1767400
26,2019-11-07,165.460007,166.830002,163.470001,163.919998,156.863083,1978200
27,2019-11-08,163.800003,164.0,161.600006,163.220001,156.193237,1152500
28,2019-11-11,161.960007,163.020004,161.330002,162.179993,155.197998,1063400
