,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,3.54,3.55,3.34,3.37,3.37,8353900
1,2019-10-03,3.4,3.5,3.38,3.4,3.4,5737800
2,2019-10-04,3.44,3.57,3.36,3.56,3.56,6536000
3,2019-10-07,3.56,3.74,3.44,3.69,3.69,9027600
4,2019-10-08,3.74,3.74,3.65,3.7,3.7,4533800
5,2019-10-09,3.71,3.74,3.66,3.67,3.67,2736100
6,2019-10-10,3.68,3.71,3.61,3.64,3.64,2528700
7,2019-10-11,3.65,3.68,3.52,3.58,3.58,5193300
8,2019-10-14,3.57,3.6,3.48,3.51,3.51,2133700
9,2019-10-15,3.51,3.56,3.44,3.52,3.52,3127300
10,2019-10-16,3.57,3.57,3.48,3.51,3.51,2278100
11,2019-10-17,3.52,3.54,3.44,3.52,3.52,3903000
12,2019-10-18,3.52,3.56,3.48,3.54,3.54,2459900
13,2019-10-21,3.54,3.56,3.5,3.5,3.5,1250700
14,2019-10-22,3.5,3.51,3.24,3.25,3.25,7613300
15,2019-10-23,3.05,3.08,2.79,3.0,3.0,20691000
16,2019-10-24,3.04,3.21,2.99,3.12,3.12,6752500
17,2019-10-25,3.12,3.19,2.92,2.96,2.96,4033200
18,2019-10-28,2.98,3.07,2.9,2.92,2.92,4215000
19,2019-10-29,2.92,3.15,2.86,3.14,3.14,6126400
20,2019-10-30,3.19,3.3,3.13,3.18,3.18,7032800
21,2019-10-31,3.23,3.24,3.07,3.08,3.08,3608800
22,2019-11-01,3.08,3.14,3.05,3.09,3.09,2307100
23,2019-11-04,3.09,3.18,3.01,3.06,3.06,3405800
24,2019-11-05,3.07,3.1,2.94,3.1,3.1,4618300
25,2019-11-06,3.06,3.15,3.03,3.1,3.1,3154900
26,2019-11-07,3.1,3.13,3.06,3.1,3.1,1847400
27,2019-11-08,3.09,3.13,3.07,3.1,3.1,1497400
28,2019-11-11,3.07,3.12,3.06,3.08,3.08,1012800
29,2019-11-12,3.1,3.23,3.08,3.21,3.21,6289400
30,2019-11-13,3.22,3.26,2.97,3.05,3.05,11056200
31,2019-11-14,3.07,3.07,2.96,3.02,3.02,4375400
32,2019-11-15,3.02,3.1,2.98,3.1,3.1,2841500
33,2019-11-18,3.08,3.13,2.96,3.0,3.0,5139300
34,2019-11-19,3.0,3.03,2.65,2.67,2.67,10560000
