,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,25.43,25.450001,24.92,25.049999,23.563284,7809900
1,2019-10-03,24.92,25.15,24.41,24.59,23.130589,11157100
2,2019-10-04,24.530001,24.799999,24.5,24.790001,23.31872,7781900
3,2019-10-07,24.85,25.049999,24.809999,24.84,23.365753,7982700
4,2019-10-08,24.709999,24.809999,24.280001,24.459999,23.008303,7873700
5,2019-10-09,24.540001,24.73,24.48,24.530001,23.074148,4706900
6,2019-10-10,24.1,24.370001,23.709999,23.84,22.4251,14008100
7,2019-10-11,24.059999,24.42,24.01,24.25,22.810772,8096400
8,2019-10-14,24.15,24.23,23.870001,24.1,22.669668,4431400
9,2019-10-15,24.200001,24.35,24.049999,24.309999,22.867205,7753600
10,2019-10-16,24.299999,24.719999,24.280001,24.51,23.05534,5978000
11,2019-10-17,24.51,24.629999,24.33,24.43,22.980083,4016000
12,2019-10-18,24.4,24.549999,23.91,23.940001,22.519165,7250200
13,2019-10-21,24.0,24.34,23.99,24.110001,22.679079,4404200
14,2019-10-22,24.25,24.92,24.110001,24.85,23.37516,7216800
15,2019-10-23,24.91,25.18,24.809999,24.98,23.497444,7093900
16,2019-10-24,25.110001,25.110001,24.690001,24.93,23.450413,5113100
17,2019-10-25,24.889999,25.379999,24.889999,25.280001,23.779638,6370600
18,2019-10-28,25.299999,25.4,25.110001,25.33,23.826666,6191100
19,2019-10-29,24.860001,24.91,24.09,24.629999,23.168213,11876200
20,2019-10-30,24.5,24.83,24.43,24.74,23.271685,5037200
21,2019-10-31,24.860001,25.030001,24.51,24.639999,23.177624,7027200
22,2019-11-01,24.68,25.139999,24.639999,24.99,23.506849,6107600
23,2019-11-04,25.15,25.469999,24.879999,24.99,23.506849,9042100
24,2019-11-05,25.6,28.08,25.540001,27.83,26.178295,26560000
25,2019-11-06,28.0,28.01,26.889999,27.0,25.397556,14409200
26,2019-11-07,27.09,27.290001,26.74,26.860001,25.265862,9614900
27,2019-11-08,26.870001,27.129999,26.780001,27.02,25.416368,6614100
28,2019-11-11,26.969999,27.049999,26.42,26.610001,25.030704,7003000
29,2019-11-12,26.83,27.059999,26.68,27.0,25.397556,7176500
30,2019-11-13,27.049999,27.1,26.799999,27.059999,25.453995,6385400
31,2019-11-14,27.02,27.209999,26.809999,26.91,25.463455,4149900
32,2019-11-15,26.940001,27.0,26.690001,26.75,25.312059,5678000
33,2019-11-18,26.68,27.07,26.65,27.01,25.558081,8600000
34,2019-11-19,27.23,27.24,26.809999,26.870001,25.425608,5536000
35,2019-11-20,26.83,26.84,26.48,26.59,25.16066,4662000
36,2019-11-21,26.9,26.940001,26.6,26.700001,25.264744,4280600
37,2019-11-22,26.709999,27.129999,26.59,27.049999,25.59593,5181700
38,2019-11-25,27.219999,27.219999,26.85,27.0,25.548618,4978500
39,2019-11-26,27.17,27.18,26.860001,27.040001,25.586473,6779000
40,2019-11-27,27.18,27.41,27.08,27.23,25.766256,3893100
41,2019-11-29,27.17,27.549999,27.02,27.34,25.870342,3703000
42,2019-12-02,27.42,27.74,27.299999,27.74,26.248844,9022200
43,2019-12-03,27.549999,27.65,27.040001,27.389999,25.917656,8380100
44,2019-12-04,27.34,27.75,27.34,27.639999,26.154219,10504200
45,2019-12-05,27.5,27.809999,26.25,26.799999,25.359371,14335700
46,2019-12-06,26.9,27.57,26.860001,27.49,26.01228,9630700
47,2019-12-09,27.43,27.889999,27.280001,27.84,26.343464,6564000
48,2019-12-10,27.59,28.0,27.549999,27.870001,26.371855,7430500
49,2019-12-11,28.0,28.08,27.620001,28.02,26.51379,5260400
50,2019-12-12,28.27,28.58,28.139999,28.200001,26.684116,6193200
51,2019-12-13,28.16,28.17,27.85,28.09,26.580025,6695000
52,2019-12-16,28.15,28.370001,27.959999,28.309999,26.788198,6643800
53,2019-12-17,28.34,28.780001,28.23,28.700001,27.157238,10595600
54,2019-12-18,28.690001,28.83,28.309999,28.33,26.807121,8949500
55,2019-12-19,28.4,28.98,28.360001,28.76,27.214008,8431100
56,2019-12-20,28.98,29.110001,28.700001,29.0,27.441109,9343600
57,2019-12-23,29.07,29.209999,28.870001,28.889999,27.337023,4323600
58,2019-12-24,28.76,29.120001,28.76,29.1,27.535732,1641100
59,2019-12-26,29.049999,29.209999,28.809999,28.889999,27.337023,3872300
60,2019-12-27,28.92,29.01,28.75,28.76,27.214008,3361800
61,2019-12-30,28.77,29.16,28.75,29.059999,27.497883,4602700
62,2019-12-31,29.0,29.110001,28.889999,28.99,27.431648,3752500
63,2020-01-02,29.030001,29.16,28.360001,28.66,27.119385,6224900
64,2020-01-03,28.48,28.82,28.4,28.700001,27.157238,5442000
65,2020-01-06,28.57,28.870001,28.35,28.799999,27.25186,6929600
66,2020-01-07,28.719999,28.799999,28.42,28.59,27.053148,5882200
67,2020-01-08,28.709999,28.73,28.42,28.42,26.892288,7341600
68,2020-01-09,28.5,28.66,28.190001,28.440001,26.911211,5725300
69,2020-01-10,28.4,28.57,28.23,28.360001,26.835514,4549300
70,2020-01-13,28.34,28.709999,28.25,28.42,26.892288,3796000
71,2020-01-14,28.33,28.91,28.33,28.84,27.289711,6134700
72,2020-01-15,28.76,28.860001,28.219999,28.290001,26.769276,5676400
73,2020-01-16,28.34,28.620001,28.01,28.08,26.570562,5537500
74,2020-01-17,28.040001,28.35,28.02,28.15,26.636801,5614300
75,2020-01-21,28.200001,28.559999,28.059999,28.41,26.882824,7318200
76,2020-01-22,28.33,28.629999,28.33,28.370001,26.844978,4821800
77,2020-01-23,28.370001,28.620001,28.219999,28.440001,26.911211,3959600
78,2020-01-24,28.48,28.51,28.139999,28.190001,26.67465,4642200
79,2020-01-27,27.950001,28.51,27.76,28.33,26.807121,4241700
80,2020-01-28,28.35,28.469999,28.17,28.33,26.807121,3323300
81,2020-01-29,28.389999,28.4,27.41,27.450001,25.97443,4454300
82,2020-01-30,27.299999,27.559999,27.200001,27.549999,26.069054,3938600
83,2020-01-31,27.4,27.450001,26.719999,26.860001,25.416143,6094400
84,2020-02-03,27.01,27.280001,26.870001,26.98,25.529696,5321700
85,2020-02-04,27.07,27.610001,27.030001,27.389999,25.917656,5330300
86,2020-02-05,27.48,28.1,27.360001,28.08,26.570562,5243800
87,2020-02-06,28.23,28.309999,27.9,28.049999,26.542177,5524100
88,2020-02-07,28.049999,28.26,27.870001,27.959999,26.45701,5952000
89,2020-02-10,28.0,28.34,27.950001,28.139999,26.627338,4511200
90,2020-02-11,28.200001,28.469999,28.129999,28.440001,26.911211,4096200
91,2020-02-12,28.5,28.84,28.43,28.690001,27.147776,4375600
92,2020-02-13,28.52,28.780001,28.43,28.629999,27.242926,3682000
93,2020-02-14,28.5,28.709999,28.08,28.23,26.862307,4807900
94,2020-02-18,29.799999,30.73,29.35,29.709999,28.270603,15999100
95,2020-02-19,29.969999,30.200001,29.379999,29.540001,28.108841,7528100
96,2020-02-20,29.360001,29.799999,29.139999,29.780001,28.337212,6187500
97,2020-02-21,29.799999,30.52,29.780001,30.309999,28.841534,9065300
98,2020-02-24,29.92,30.639999,29.879999,30.27,28.803474,7668600
99,2020-02-25,30.370001,30.42,29.59,29.67,28.23254,7335200
100,2020-02-26,29.879999,29.879999,28.620001,28.75,27.357115,7565800
101,2020-02-27,28.549999,29.299999,28.33,28.360001,26.986012,8376600
102,2020-02-28,28.0,28.18,27.059999,28.129999,26.767151,13513900
103,2020-03-02,28.440001,29.690001,28.280001,29.68,28.242058,11950800
104,2020-03-03,29.52,30.42,28.969999,29.34,27.91853,10566900
105,2020-03-04,29.68,30.969999,29.65,30.959999,29.460043,9597800
106,2020-03-05,30.65,33.700001,30.43,33.470001,31.848438,25208100
107,2020-03-06,32.720001,32.990002,31.51,32.040001,30.48772,14613600
108,2020-03-09,30.68,31.700001,30.0,31.25,29.735994,13149900
109,2020-03-10,31.299999,32.75,31.18,32.599998,31.020588,16506300
110,2020-03-11,31.809999,32.259998,30.07,30.59,29.107969,12935100
111,2020-03-12,28.6,30.379999,28.370001,29.120001,27.709188,15294000
112,2020-03-13,30.540001,30.98,28.25,30.709999,29.222155,16518300
113,2020-03-16,29.33,33.209999,29.0,31.1,29.593266,24770300
114,2020-03-17,31.809999,34.939999,30.91,33.0,31.401205,25167900
115,2020-03-18,33.650002,36.84,32.509998,33.91,32.267124,25779400
116,2020-03-19,35.75,36.5,33.41,34.18,32.52404,16699300
117,2020-03-20,34.25,34.25,31.030001,31.77,30.230804,21979200
118,2020-03-23,31.780001,32.720001,30.77,31.08,29.574232,13199900
119,2020-03-24,31.5,31.68,29.42,30.15,28.689285,13695000
120,2020-03-25,29.99,30.190001,27.82,27.940001,26.586359,20521000
121,2020-03-26,28.0,29.18,27.33,29.0,27.595003,18238900
122,2020-03-27,29.290001,29.9,28.549999,29.129999,27.718702,14993000
123,2020-03-30,30.0,30.360001,29.120001,29.65,28.213511,12972800
124,2020-03-31,29.58,30.26,29.1,30.120001,28.660742,17225200
125,2020-04-01,30.299999,31.780001,29.83,30.5,29.022329,17162600
126,2020-04-02,30.23,31.99,29.85,31.6,30.069038,18951500
127,2020-04-03,31.610001,32.84,31.6,32.290001,30.725613,14538900
128,2020-04-06,32.299999,32.759998,31.280001,32.630001,31.049137,15549200
129,2020-04-07,31.459999,32.5,30.57,31.860001,30.316442,16983100
130,2020-04-08,31.709999,31.950001,30.719999,31.02,29.517139,18720700
131,2020-04-09,30.33,31.299999,30.01,31.059999,29.555199,17327700
132,2020-04-13,31.200001,32.23,31.049999,31.33,29.812119,13509400
133,2020-04-14,32.049999,32.369999,31.57,32.09,30.535295,13328100
134,2020-04-15,32.369999,32.490002,31.07,32.029999,30.478205,16203200
135,2020-04-16,32.049999,32.639999,31.84,31.950001,30.402082,14498700
136,2020-04-17,31.85,32.130001,30.889999,31.93,30.383049,15774600
137,2020-04-20,32.099998,32.619999,31.74,31.93,30.383049,11003100
138,2020-04-21,32.169998,32.599998,31.74,32.169998,30.611422,14815400
139,2020-04-22,32.330002,32.610001,32.080002,32.310001,30.74464,9431900
140,2020-04-23,32.049999,33.099998,31.959999,32.880001,31.287024,11731700
141,2020-04-24,33.02,33.110001,32.470001,32.959999,31.363148,9341400
142,2020-04-27,32.98,33.529999,32.98,33.279999,31.667645,10093800
143,2020-04-28,33.07,33.419998,32.25,32.360001,30.792217,13705600
144,2020-04-29,31.889999,32.189999,31.1,31.52,29.992914,14016500
145,2020-04-30,31.700001,32.049999,31.27,31.610001,30.078552,12290200
146,2020-05-01,31.440001,32.130001,31.23,31.959999,30.411594,7737000
147,2020-05-04,32.580002,32.75,31.83,32.529999,30.953983,9609800
148,2020-05-05,32.57,32.970001,32.209999,32.810001,31.220419,7269600
149,2020-05-06,32.990002,33.279999,32.720001,32.779999,31.19187,7380100
150,2020-05-07,32.900002,33.189999,32.48,32.68,31.096714,6262700
151,2020-05-08,32.700001,33.52,32.549999,33.34,31.724737,7916000
