,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-10-02,84.400002,84.400002,82.269997,82.800003,70.939186,2785300
1,2019-10-03,82.290001,83.57,81.300003,83.540001,71.573189,2430500
2,2019-10-04,83.919998,84.709999,83.449997,84.519997,72.412788,2066600
3,2019-10-07,84.730003,84.730003,83.419998,83.419998,71.470375,1994200
4,2019-10-08,82.720001,84.339996,82.260002,83.32,71.384697,2900800
5,2019-10-09,84.5,86.129997,83.919998,85.07,72.884018,2781400
6,2019-10-10,85.099998,86.160004,84.879997,85.800003,73.509445,2477400
7,2019-10-11,87.18,88.830002,86.839996,88.0,75.394295,3118200
8,2019-10-14,87.540001,89.0,87.25,88.529999,75.848373,1372200
9,2019-10-15,88.269997,90.360001,87.830002,89.449997,76.636589,2197400
10,2019-10-16,89.080002,90.279999,88.669998,89.089996,76.328163,2267300
11,2019-10-17,89.620003,90.779999,89.449997,90.099998,77.193481,2545300
12,2019-10-18,89.900002,91.660004,89.620003,91.059998,78.015961,3796200
13,2019-10-21,92.019997,93.5,91.589996,93.209999,79.857986,3227700
14,2019-10-22,93.540001,94.589996,92.739998,94.169998,80.680458,3087300
15,2019-10-23,93.599998,94.660004,93.239998,93.849998,80.406303,3534600
16,2019-10-24,95.300003,97.400002,95.150002,96.910004,83.027985,4566300
17,2019-10-25,98.0,99.839996,96.989998,99.269997,85.049904,3899200
18,2019-10-28,99.75,100.82,99.629997,100.07,85.735306,3941700
19,2019-10-29,99.629997,101.440002,99.209999,100.82,86.377876,3259300
20,2019-10-30,100.379997,100.5,97.790001,98.809998,84.655807,4187000
21,2019-10-31,98.57,98.989998,96.129997,96.980003,83.087959,4396600
22,2019-11-01,97.800003,99.919998,97.5,99.860001,85.555397,2843000
23,2019-11-04,100.599998,101.830002,100.239998,101.239998,86.737732,2482500
24,2019-11-05,101.629997,101.989998,99.949997,101.089996,86.6092,3286200
25,2019-11-06,100.639999,101.290001,99.660004,100.349998,85.975212,2529800
26,2019-11-07,100.860001,101.650002,100.25,101.400002,86.874802,3220800
27,2019-11-08,101.040001,101.209999,99.610001,100.860001,86.412155,2678400
28,2019-11-11,99.959999,101.209999,99.339996,100.68,86.257927,1901400
29,2019-11-12,101.080002,101.870003,100.0,100.480003,86.086601,1928200
30,2019-11-13,99.470001,100.730003,99.139999,100.25,85.889549,1887200
31,2019-11-14,99.870003,101.059998,99.760002,100.82,86.377876,2288100
32,2019-11-15,101.0,101.199997,99.540001,100.610001,86.19796,2487600
33,2019-11-18,100.25,101.110001,99.889999,101.059998,86.583504,2938000
34,2019-11-19,100.059998,100.160004,97.190002,97.620003,84.387802,3641300
35,2019-11-20,97.669998,97.699997,94.769997,97.190002,84.016083,4590000
36,2019-11-21,97.57,98.849998,97.269997,98.410004,85.070702,3127700
37,2019-11-22,99.050003,99.720001,97.349998,97.510002,84.292694,2877500
38,2019-11-25,97.779999,98.169998,96.959999,97.349998,84.154381,3027400
39,2019-11-26,97.949997,98.419998,97.089996,97.440002,84.232193,4971000
40,2019-11-27,97.589996,98.0,96.68,97.099998,83.938278,3016700
41,2019-11-29,96.839996,96.940002,95.379997,95.489998,82.546501,1716800
42,2019-12-02,95.839996,97.080002,95.519997,95.599998,82.641609,3172900
43,2019-12-03,94.839996,94.900002,93.75,93.889999,81.163383,3345700
44,2019-12-04,94.949997,94.949997,92.93,93.209999,80.575562,3898000
45,2019-12-05,93.160004,93.480003,91.940002,92.989998,80.385376,3136100
46,2019-12-06,93.93,94.940002,93.389999,93.610001,80.921341,3825100
47,2019-12-09,93.349998,93.620003,92.269997,92.519997,79.979088,3172400
48,2019-12-10,92.709999,94.639999,92.330002,94.57,81.751205,2858300
49,2019-12-11,94.830002,94.989998,92.309998,92.889999,80.298935,3049700
50,2019-12-12,93.160004,94.769997,92.919998,94.529999,81.716629,2495400
51,2019-12-13,94.589996,95.809998,93.239998,93.809998,81.094238,2456400
52,2019-12-16,94.480003,96.18,93.699997,95.139999,82.243958,3878000
53,2019-12-17,96.169998,97.209999,95.300003,95.68,82.710754,2971900
54,2019-12-18,95.5,95.650002,93.970001,94.510002,81.699356,4334300
55,2019-12-19,94.889999,95.389999,94.209999,94.589996,81.768501,2782300
56,2019-12-20,95.239998,95.989998,94.379997,95.269997,82.356339,4801600
57,2019-12-23,95.300003,95.449997,94.5,95.239998,82.330399,1910300
58,2019-12-24,95.160004,95.660004,94.690002,95.099998,82.209381,559800
59,2019-12-26,95.239998,95.379997,94.18,94.419998,81.621552,1205800
60,2019-12-27,94.779999,94.849998,93.120003,93.199997,80.566917,1752400
61,2019-12-30,93.010002,93.839996,92.739998,92.879997,80.290283,2186800
